Attr:Custom_Attributes	CWeaponMedigun::GetTargetRange
Attr:Custom_Attributes	CWeaponMedigun::HealTargetThink
Attr:Custom_Attributes	CWeaponMedigun::StartHealingTarget
Attr:Custom_Attributes	FX_FireBullets
Attr:Custom_Attributes	HandleRageGain
Attr:Custom_Attributes	PropDynamic_CollidesWithGrenades
Attr:Custom_Attributes	static_attrib_t::BInitFromKV_SingleLine
Attr:Custom_Attributes	SV_ComputeClientPacks
Attr:Custom_Attributes	TE_PlayerAnimEvent
Attr:Custom_Attributes	TE_TFExplosion
Attr:Custom_Attributes	TE_TFParticleEffect [No attachment]
Attr:Custom_Attributes	UTIL_EntitiesInSphere
Attr:CustomProjectileModel_Precache	CTFCleaver::CreateJarProjectile
Attr:CustomProjectileModel_Precache	CTFJar::CreateJarProjectile
Attr:CustomProjectileModel_Precache	CTFJarGas::CreateJarProjectile
Attr:CustomProjectileModel_Precache	CTFJarMilk::CreateJarProjectile
Bot:Bot_Player_Slot_Reorder	CBaseServer::CreateFakeClient
Bot:Bot_Player_Slot_Reorder	CBaseServer::GetFreeClient
Bot:IsSpaceToSpawnHere_Scale	CTFPlayerShared::OnAddHalloweenTiny
Bot:IsSpaceToSpawnHere_Scale	CTFPlayerShared::OnRemoveHalloweenTiny
Bot:IsSpaceToSpawnHere_Scale	IEngineTrace::TraceRay
Bot:IsSpaceToSpawnHere_Scale	IsSpaceToSpawnHere
Bot:Kart_Locomotion	CTFBotMainAction::Dodge [clone]
Bot:Spy_SelectRandomReachableEnemy	CollectPlayers<CTFPlayer>
Bot:Spy_SelectRandomReachableEnemy	CTFBot::SelectRandomReachableEnemy
Common:ExtraEntityData	~CBaseEntity [D2]
Common:Weapon_Shoot	CBaseCombatWeapon::WeaponSound
Common:Weapon_Shoot	CBaseEntity::DispatchTraceAttack
Common:Weapon_Shoot	CTFGameRules::FPlayerCanTakeDamage
Common:Weapon_Shoot	CTFPlayer::DoAnimationEvent
Common:Weapon_Shoot	CTFPlayer::MaybeDrawRailgunBeam
Common:Weapon_Shoot	CTFProjectile_BallOfFire::Burn
Common:Weapon_Shoot	CTFProjectile_Flare::SendDeathNotice
Common:Weapon_Shoot	CTFWeaponBaseGun::DoFireEffects
Common:Weapon_Shoot	CTFWeaponBaseGun::RemoveProjectileAmmo
Common:Weapon_Shoot	CTFWeaponBaseGun::UpdatePunchAngles
Common:Weapon_Shoot	EconItemInterface_OnOwnerKillEaterEvent
Common:Weapon_Shoot	EconItemInterface_OnOwnerKillEaterEvent_Batched
Common:Weapon_Shoot	GetKilleaterWeaponFromDamageInfo
Common:Weapon_Shoot	TE_FireBullets
Cond:Reprogrammed	CBaseObject::FindSnapToBuildPos
Cond:Reprogrammed	CObjectSapper::IsValidRoboSapperTarget
Cond:Reprogrammed	CObjectSentrygun::FindTarget
Cond:Reprogrammed	CollectPlayers<CTFPlayer>
Cond:Reprogrammed	CTFBotMedicHeal::IsVisibleToEnemy
Cond:Reprogrammed	CTFGameRules::FireGameEvent
Cond:Reprogrammed	CTFKnife::CanPerformBackstabAgainstTarget [clone]
Cond:Reprogrammed	CTFPlayer::ChangeTeam
Cond:Reprogrammed	CTFPlayer::DeathSound
Cond:Reprogrammed	CTFPlayer::GetOpposingTFTeam
Cond:Reprogrammed	CTFPlayer::ModifyOrAppendCriteria
Cond:Reprogrammed	CTFPlayerShared::CTFPlayerShared
Cond:Reprogrammed	CTFPlayerShared::OnConditionAdded
Cond:Reprogrammed	CTFPlayerShared::OnConditionRemoved
Cond:Reprogrammed	CTFTeamManager::GetTeam
Cond:Reprogrammed	SV_ComputeClientPacks
Credits:Better_Radius_Collection	CTFPlayerShared::RadiusCurrencyCollectionCheck
Debug:UserMsg_Overflow	CMannVsMachineStats::NotifyTargetPlayerEvent
Debug:UserMsg_Overflow	CMannVsMachineStats::PlayerEvent_Upgraded
Demo:StringTable_Limit	[engine] bf_read::bf_read
Demo:StringTable_Limit	[engine] bf_write::bf_write
Demo:StringTable_Limit	[engine] CUtlBuffer::EnsureCapacity
Etc:Crash_Fixes	CBaseServer::CheckPassword
Etc:Crash_Fixes	CBaseServer::ConnectClient
Etc:Crash_Fixes	ClientData_Update
Etc:Detector	CBaseClient::SetName
Etc:Detector	CBaseServer::CheckProtocol
Etc:Detector	CServerPlugin::ClientSettingsChanged
Etc:Detector	CServerPlugin::OnQueryCvarValueFinished
Etc:Detector	CTFGameRules::FireGameEvent
Etc:Detector	CTFPlayer::PostThink
Etc:Detector	CTFPlayerShared::OnConditionAdded
Etc:Detector	CTFPlayerShared::OnConditionRemoved
Etc:Detector	UTIL_SetOrigin
Etc:Entity_Limit_Manager	CBaseCombatWeapon::Equip
Etc:Entity_Limit_Manager	CBaseCombatWeapon::SetViewModelIndex
Etc:Entity_Limit_Manager_Convert_Serverside	CEntityFactory<CEnvEntityMaker>::Create
Etc:Entity_Limit_Manager_Convert_Serverside	CEntityFactory<CEnvShake>::Create
Etc:Entity_Limit_Manager_Convert_Serverside	CEntityFactory<CEnvViewPunch>::Create
Etc:Entity_Limit_Manager_Convert_Serverside	CEntityFactory<CFuncNavAvoid>::Create
Etc:Entity_Limit_Manager_Convert_Serverside	CEntityFactory<CFuncNavPrefer>::Create
Etc:Entity_Limit_Manager_Convert_Serverside	CEntityFactory<CGameText>::Create
Etc:Entity_Limit_Manager_Convert_Serverside	CEntityFactory<CPathTrack>::Create
Etc:Entity_Limit_Manager_Convert_Serverside	CEntityFactory<CPointClientCommand>::Create
Etc:Entity_Limit_Manager_Convert_Serverside	CEntityFactory<CPointEntity>::Create
Etc:Entity_Limit_Manager_Convert_Serverside	CEntityFactory<CPointHurt>::Create
Etc:Entity_Limit_Manager_Convert_Serverside	CEntityFactory<CPointNavInterface>::Create
Etc:Entity_Limit_Manager_Convert_Serverside	CEntityFactory<CPointPopulatorInterface>::Create
Etc:Entity_Limit_Manager_Convert_Serverside	CEntityFactory<CPointServerCommand>::Create
Etc:Entity_Limit_Manager_Convert_Serverside	CEntityFactory<CRagdollMagnet>::Create
Etc:Entity_Limit_Manager_Convert_Serverside	CEntityFactory<CTeamplayRoundWin>::Create
Etc:Entity_Limit_Manager_Convert_Serverside	CEntityFactory<CTFBotHint>::Create
Etc:Entity_Limit_Manager_Convert_Serverside	CEntityFactory<CTFBotHintSentrygun>::Create
Etc:Entity_Limit_Manager_Convert_Serverside	CEntityFactory<CTFBotHintTeleporterExit>::Create
Etc:Entity_Limit_Manager_Convert_Serverside	CEntityFactory<CTFForceRespawn>::Create
Etc:Entity_Limit_Manager_Convert_Serverside	CEntityFactory<CTFHudNotify>::Create
Etc:Entity_Limit_Manager_Convert_Serverside	CEntityFactory<CTrainingAnnotation>::Create
Etc:Entity_Limit_Manager	CTFPlayer::CreateDisguiseWeaponList
Etc:Entity_Limit_Manager	CTFPlayerShared::DetermineDisguiseWeapon
Etc:Entity_Limit_Manager	CTFPlayerShared::DetermineDisguiseWearables
Etc:Entity_Limit_Manager	CTFPlayerShared::RemoveDisguiseWeapon
Etc:Entity_Limit_Manager	CTFPlayer::UpdateExpression
Etc:Entity_Limit_Manager	InstancedScriptedScene
Etc:Entity_Limit_Manager	Physics_SimulateEntity
Etc:Heat_Seeking_Rockets	CBaseEntity::SetMoveType
Etc:Heat_Seeking_Rockets	CTFBaseRocket::Create
Etc:Heat_Seeking_Rockets	CTFProjectile_Flare::PerformCustomPhysics
Etc:Holiday_Items_Allow	UTIL_GetHolidayForString
Etc:Huntsman_Damage_Fix	CTFCompoundBow::GetChargeMaxTime
Etc:Huntsman_Damage_Fix	CTFCompoundBow::GetProjectileDamage
Etc:Limp_Projectiles	CTFGrenadePipebombProjectile::Create
Etc:Mapentity_Additions	CBaseEntity::DispatchUpdateTransmitState
Etc:Mapentity_Additions	CBaseObject::InitializeMapPlacedObject
Etc:Mapentity_Additions	CCaptureFlag::FlagTouch
Etc:Mapentity_Additions	CCaptureFlag::PickUp
Etc:Mapentity_Additions	CCollisionEvent::ShouldCollide
Etc:Mapentity_Additions	CEventAction::CEventAction [C2]
Etc:Mapentity_Additions	CFlagDetectionZone::EntityIsFlagCarrier
Etc:Mapentity_Additions	CFuncRotating::InputStop
Etc:Mapentity_Additions	CGlobalEntityList::FindEntityByClassname
Etc:Mapentity_Additions	CGlobalEntityList::FindEntityByName
Etc:Mapentity_Additions	CItem::ItemTouch
Etc:Mapentity_Additions	CObjectSentrygun::FireRocket
Etc:Mapentity_Additions	CObjectTeleporter::RecieveTeleportingPlayer
Etc:Mapentity_Additions	CPointPush::PushThink
Etc:Mapentity_Additions	CPopulationManager::Initialize [clone]
Etc:Mapentity_Additions	CPopulationManager::ResetMap
Etc:Mapentity_Additions	CPopulationManager::UpdateObjectiveResource
Etc:Mapentity_Additions	CTeamRoundTimer::InputSetTime
Etc:Mapentity_Additions	CTFBaseRocket::Create
Etc:Mapentity_Additions	CTFBot::GetFlagToFetch
Etc:Mapentity_Additions	CTFBot::Spawn
Etc:Mapentity_Additions	CTFDroppedWeapon::Create
Etc:Mapentity_Additions	CTFDroppedWeapon::InitPickedUpWeapon
Etc:Mapentity_Additions	CTFGameRules::CleanUpMap
Etc:Mapentity_Additions	CTFGameRules::RoundCleanupShouldIgnore
Etc:Mapentity_Additions	CTFGameRules::ShouldCreateEntity
Etc:Mapentity_Additions	CTFMedigunShield::ShieldThink
Etc:Mapentity_Additions	CTFPlayer::InputIgnitePlayer
Etc:Mapentity_Additions	CTFPlayer::StateLeave
Etc:Mapentity_Additions	CTriggerCamera::Disable
Etc:Mapentity_Additions	CTriggerHurt::HurtEntity [clone]
Etc:Mapentity_Additions	CTriggerIgnite::BurnEntities [clone]
Etc:Mapentity_Additions	CTriggerIgnite::IgniteEntity
Etc:Mapentity_Additions	IsSpaceToSpawnHere
Etc:Mapentity_Additions	OnBotTeleported
Etc:Mapentity_Additions	PassServerEntityFilter [clone]
Etc:Mapentity_Additions	SV_ComputeClientPacks
Etc:Mapentity_Additions	UTIL_EntitiesInSphere
Etc:Medicgun_Beam_Machinery	CWeaponMedigun::AllowedToHealTarget
Etc:Melee_Ignore_Teammates	CAttributeManager::AttribHookValue<int>
Etc:Misc:AllowVoteMidWave	CKickIssue::RequestCallVote
Etc:Misc	CCommandBuffer::AddText
Etc:Misc	CTFPlayer::RemoveAllWeapons
Etc:Misc	CTFPlayerShared::OnRemoveStunned
Etc:Misc	CTFPlayer::StartBuildingObjectOfType
Etc:Misc	CTFProjectile_Arrow::StrikeTarget
Etc:Misc	CTFProjectile_BallOfFire::RocketTouch
Etc:Misc	CTFProjectile_EnergyRing::ProjectileTouch
Etc:Misc	CTFProjectile_Rocket::IsDeflectable
Etc:Misc	CTFWrench::Smack
Etc:Misc	CTraceFilterIgnorePlayers::ShouldHitEntity
Etc:Misc:HHHHealthBar	CHeadlessHatman [D2]
Etc:Misc:HHHHealthBar	CHeadlessHatman::OnTakeDamage_Alive
Etc:Misc:HHHHealthBar	CHeadlessHatman::Spawn
Etc:Misc:ScriptSaveLimit	Script_StringToFile
Etc:Misc	SendProxyArrayLength_PlayerObjects
